date,description,amount
2025-04-01,GROCERY STORE,-85.23
2025-04-02,STARBUCKS COFFEE,-4.95
2025-04-03,SALARY DEPOSIT,3200.00
2025-04-05,AMAZON PAYMENT,-67.88
2025-04-07,RESTAURANT PAYMENT,-52.30
2025-04-10,ELECTRIC BILL,-110.45
2025-04-12,GAS STATION,-45.67
2025-04-15,NETFLIX SUBSCRIPTION,-14.99
2025-04-17,GROCERY STORE,-92.34
2025-04-18,UBER RIDE,-22.50
2025-04-20,PHONE BILL,-75.00
2025-04-22,RENT PAYMENT,-1200.00
2025-04-25,CLOTHING STORE,-124.56
2025-04-27,RESTAURANT PAYMENT,-35.67
2025-04-28,ONLINE COURSE,-199.99
2025-04-30,INTEREST PAYMENT,12.45